classifier,accuracy_score,f1_score_micro,f1_score_macro,f1_score_weighted
KNeighborsClassifier,0.5282411230388109,0.5282411230388109,0.4903373601576171,0.49033736015761703
DecisionTreeClassifier,0.63663638865951,0.63663638865951,0.6257625274281219,0.6257625274281219
RandomForestClassifier,0.770300027525461,0.770300027525461,0.7676038152134108,0.7676038152134107
MLPClassifier,0.9826589595375722,0.9826589595375722,0.9824706457290105,0.9824706457290107
AdaBoostClassifier,0.18951279933938894,0.18951279933938894,0.18138014020481288,0.18138014020481294
GaussianNB,0.8144783925130746,0.8144783925130745,0.7923962390077032,0.7923962390077033
